#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
5067    ;        ;de Corbeil;norman;161330
5068    ;        ;de Dreux;norman;
5069    ;        ;de Garlande;saxon;91133
5070    ;        ;de Marly;frankish;
5071    ;        ;de Melun;frankish;1093013
5072    ;        ;de Meulan;frankish;204577
5073    ;        ;de Montmorency;frankish;455779|32176|72437
5074    ;        ;de Nanteuil;frankish;
5075    ;        ;de Neauphle;frankish;
5076    ;        ;de Poissy;occitan;
5077    ;        ;de Saint-Denis;frankish;
5078    ;        ;de Voisins;frankish;72445
5079    ;        ;de Boves;frankish;
5080    ;        ;de Cayeux;occitan;
5081    ;        ;de Coucy;frankish;144235|144236|204980|204981|204982|204983|204984|204985|204990|454980|454990|454991|454993|454995|454996|454998|455000|455001|455002|6901|161385
5082    ;        ;de Fontaines;frankish;910042|910044
5083    ;        ;de Nesle;frankish;161386|161387|161388|161389|161390|161391|161392|161393|161394|161395|161396|161397|161398|161399|161400|161401|161402|161403|161404|161405|161406|161407|161408
5084    ;        ;de Picquigny;frankish;31372|32269
5085    ;        ;de Roucy;frankish;
5086    ;        ;de Saint-Valéry;frankish;
5087    ;        ;Tyrel;norman;
5088    ;        ;de Bar;frankish;
5089    ;        ;de Grandpré;frankish;161960|161961|161962|161963|161964|161965|161966|161931|161958
5090    ;        ;de Joigny;frankish;40440|40442|40443|40444|40445|40446
5091    ;        ;de Villehardouin;frankish;31335|31336|31337|31338|31339|31340|31341|31342
5092    ;        ;de Beaujeu;occitan;200187|200188|205682
5093    ;        ;de Donzy;frankish;91153
5094    ;        ;de Thury;norman;
5095    ;        ;de Vergy;occitan;138411
5096    ;        ;de Gourdon;occitan;
5097    ;        ;de Mauléon;frankish;40028
5098    ;        ;de Turenne;frankish;138093|138109
5099    ;        ;d'Astarac;frankish;
5100    ;        ;de Lomagne;frankish;40017|40901|40904|40902|40903|138117|138119|138123|138126|138137|138138|138116|138118|138120|138122|138124|138125|138121|138128|138130|138132|138133|138135|455641|455640|455646|455644|455645
5101    ;        ;de Montesquiou;frankish;138272
5102    ;        ;de Alfaro;castillan;
5103    ;        ;d'Anduze;occitan;138370|138372|138373|138374|138376|138378|138380|138382|138384|138386|138388|138390|138392
5104    ;        ;de Cardaillac;frankish;
5105    ;        ;de Gontaut;frankish;
5106    ;        ;de Puylaurens;occitan;
5107    ;        ;de Roquefeuil;frankish;
5108    ;        ;de Barbaira;frankish;
5109    ;        ;de Durfort;frankish;
5110    ;        ;d'Hautpoul;frankish;
5111    ;        ;de Laurac;frankish;
5112    ;        ;de Saissac;frankish;
5113    ;        ;de Termes;frankish;
5114    ;        ;de Castelbon;occitan;
5115    ;        ;de Durban;frankish;
5116    ;        ;de Fenolhet;occitan;
5117    ;        ;des Baux;occitan;20283|40470|40471|40472|32781|32782|32783|32784|32530|32515|32516|32517|32518|32519|32520|32521|32522|32523|32524|32525|32526|32527|32529|32531|32532|32533|455456
6000    ;        ;van Egmond;dutch;
6001    ;        ;van Amstel;dutch;33595|33596|33597|33598|33599|33600|33601|33602|33603|33604|33605|33606|33607|33608|33609
6002    ;        ;van Arkel;dutch;
6003    ;        ;van Boutershem;dutch;
6004    ;        ;van Brederode;dutch;
6005    ;        ;van Brunesheim;dutch;
6006    ;        ;van Breda;dutch;
6007    ;        ;van Heemskerk;dutch;
6008    ;        ;van Gaveren;dutch;
6009    ;        ;van Glymes;dutch;
6010    ;        ;van Grimberghe;dutch;
6011    ;        ;van Hurne;dutch;
6012    ;        ;van Renesse;dutch;
6013    ;        ;van Wesemael;dutch;
6014    ;        ;van Wassenaer;dutch;
6015    ;        ;van Rheden;dutch;
6016    ;        ;van Bronckhorst;dutch;30061|30309|31759|31797|161558|161559|161560|161561
6017    ;        ;van Keppel;dutch;
6018    ;        ;van Voorst;dutch;
6019    ;        ;van Lathum;dutch;
6021    ;        ;van Swane;dutch;
6022    ;        ;van Wisch;dutch;
7000    ;        ;de Amaya;basque;107601|107630|70078|70079|70076
7001    ;        ;de Azagra;basque;71573|71574|71575|72039|72041|72042|72043|72044|72046|72048|72050
7002    ;        ;Benavides;basque;
7003    ;        ;Ponce de León;castillan;457671|458020|458021|458022|458023|458025|458026|458027|458028|458030|72171|73041|73050|73051|73054|73055|73056|73057|73058|73059|73060|73061|73062|73063|73064|73065|73070|73071|73072|73073|73074|73075|73076|73078|73079|73080|73081|73082|73083|73084|73085|73086|73087|73088|73090|73091|73092|73093
7004    ;        ;Barrientos;castillan;
7005    ;        ;de Ceballos;castillan;
7006    ;        ;de Toledo;castillan;
7007    ;        ;de Córdoba;castillan;
7008    ;        ;de Godoy;castillan;
7009    ;        ;de la Vega;castillan;
7010    ;        ;de Guzmán;castillan;458007|458009|458010|458011|73099|73100|73102|73103|73104|73105|73106|73107|73108|73109|73110|73111|73112|73113|73114|73115|73116|73117|73118|73119|73120|73122|73123|73124|73125|73126|73128|73129|73130|73131|73132|73133|73134|73135|73136|73140|73142|73143|73144|73145|73146|73148
7011    ;        ;de Villalobos;castillan;71504|72611|72612|72613|72614|72615|72616|72617|72618|72619|72636|72638|72639|72640|72641|72644|72645|72646|72647|72648|72649
7012    ;        ;de Castella;visigothic;107641|107650|107660|107661|107670|107672|107673|107680|107682|107684|107685|107686|107688|107689|70250|70252|70255|70256|70257|70258|70259|70260|70264|70265|70266|70267|70268|70286|73763|73765|73766|73767|73769|200074|200065
7013    ;        ;de Noreña;castillan;
7014    ;        ;de Gijón;castillan;
7015    ;        ;de Sotomayor;castillan;
7016    ;        ;de Zúñiga;basque;
7017    ;        ;de Cáceres;castillan;
7018    ;        ;de Solís;castillan;
7019    ;        ;de Siones;portuguese;73152
7020    ;        ;de Quiñones;castillan;73153
7021    ;        ;de Quintana;castillan;73156
7022    ;        ;de Padilla;castillan;73163
7023    ;        ;de Pereira;portuguese;72929
7024    ;        ;de Villena;catalan;457622|457630|457631|457632|457633|457635|71476|71477|71478|71479|71480|71481|71482|71483|71485
7025    ;        ;de Girón;castillan;72377|72961|72962|72963|72965|72966|72967|72968|72969|72982|72983|72984|72985|72986|72987|72988|72989|72990|72991|72992|72993|72994|72996|72997|72998|72999|73001|73002|73004|73005|73006|73007|73008|73009|73010|73011|73012|73013|73014|73015|73016|73017|73018|73020|73021|73022|73023|73024|73025|73027|73028|73029|73030|73031
7026    ;        ;de Marañón;castillan;70136|72668|72669|72670|72671|72672|72673|72674|72675|72676|72677
7027    ;        ;de Candamio;castillan;
7028    ;        ;Barragán;castillan;
7029    ;        ;Mejía;castillan;
7030    ;        ;Cabeza de Vaca;castillan;
7031    ;        ;de Villagarcía;castillan;
7032    ;        ;de Figueroa;catalan;
7033    ;        ;de Luna;castillan;71719|71743|71978|200106
70434   ;        ;de la Cueva;castillan;
7035    ;        ;de Pacheco;castillan;72637
7036    ;        ;de Cárdenas;castillan;72024|72025|72026
7037    ;        ;Fernández;castillan;70095
7038    ;        ;Pérez;castillan;
7039    ;        ;Ruíz;castillan;
7040    ;        ;López;castillan;
7041    ;        ;Díaz;castillan;
7042    ;        ;Alonso;castillan;
7043    ;        ;Sánchez;castillan;458002
7044    ;        ;Láinez;castillan;108551
7045    ;        ;de Aviz;portuguese;
7046    ;        ;de Prado;castillan;457015
7047    ;        ;de Fonseca;portuguese;457020|457022|457023
7048    ;        ;da Cunha;portuguese;457021
7049    ;        ;Coronel;basque;458008
7050    ;        ;de Lauria;italian;71666|71698|71704|71705|71707|71708|71709|71702|71703
7051    ;        ;Tusculani;italian;7933|7934|7937|7932|7935|7936|7938|1062510|1062511|1062512|1062513|1062514|1062515|1062516|1062517|1062518|1062519|1062520|1062521|1062522|1062523|1062524
7052    ;        ;Bosonid;frankish;1061730|1061753|6877|400|7561|7921|7923|7977|7978|167000|167001|7927|7928|110572|110641|110661|127013|333|401|402|404|406|407|408|40804|40805|409|410|420|422|40802|40800|40801|40803|7980|7924|7925|144972|7976
7100    ;        ;von Nellenburg;german;33109|33616
7101    ;        ;von Arnstein;german;30051
7102    ;        ;van Kamerijk;dutch;
7103    ;        ;von Supplingenburg;german;212603|30217|30218|30219|30220
7104    ;        ;von Plotzkau;german;30234|30260|30261|30262|161252|161253|161254
7105    ;        ;von Katlenburg;german;30248|30249
7106    ;        ;von Goslar;german;30300
7107    ;        ;von Bremen;german;30301|30302|30303|30304
7108    ;        ;von Köln;german;30305
7109    ;        ;von Wunstorf;german;30308
7110    ;        ;von Goltern;german;30310
7111    ;        ;von Wölpe;german;30311
7112    ;        ;Grand;danish;30313
7113    ;        ;von Holte;german;30315|30321|30326|30327|30328|30329
7114    ;        ;von Are;german;30318|33158|33170
7115    ;        ;von Wippra;german;30319
7116    ;        ;von Isenberg;german;462361|33120
7117    ;        ;von der Mark;german;30330|30331
7118    ;        ;von Diest;german;30332
7119    ;        ;von Rietberg;german;144220|30333|30358|30360
7120    ;        ;von Löningen;german;30335
7121    ;        ;von Corvey;german;30336
7122    ;        ;von Steinfurt;german;30341
7123    ;        ;von Tecklenburg;german;30348|30350|30351|30352|31803|31804
7124    ;        ;von Rüssel;german;30356
7125    ;        ;von Waldeck;german;30357|33223|33228|33229|33230|33231|33232|33233|33234|33235|33236|33237|33238|33239|33240|33241
7126    ;        ;von Ravensberg;german;30361
7127    ;        ;von Weyhe;german;30362
7128    ;        ;Cirksena;dutch;30363|30364|30365|30366|30367|30368|30369|30370|30371|30372|30373|30374|30375|30376|30377|30378|462171|462173
7129    ;        ;van Visquard;dutch;30379
7130    ;        ;van Groothusen;dutch;30380
7131    ;        ;von Hoya;german;30080
7132    ;        ;von Dachau;german;
7133    ;        ;von Bassenheim;german;30400
7134    ;        ;von Kerpen;german;30401
7135    ;        ;von Tunna;german;30402
7136    ;        ;von Salza;german;30403
7137    ;        ;von Malberg;german;30405
7138    ;        ;von Hohenlohe;german;144540|144541|30406|30413|30418|30419|30420|73360|73363|73364|73365|73366|73367|73368|73369|73370|73371|73372|73373|73374|73375
7139    ;        ;von Wüllersleben;german;30407
7140    ;        ;von Osterna;german;30408
7141    ;        ;von Sangershausen;german;20232|20236|30409
7142    ;        ;von Heldrungen;german;30410
7143    ;        ;von Schwanden;german;30411
7144    ;        ;von Feuchtwangen;german;30412|30414
7145    ;        ;von Trier;german;30415
7146    ;        ;von Orseln;german;30416
7147    ;        ;von Buxthoeven;german;30421|30429|30435|30438
7148    ;        ;von Nauen;german;30422
7149    ;        ;Suerbeer;german;30423
7150    ;        ;von Lunen;german;30424
7151    ;        ;von Vechta;german;30425
7152    ;        ;de Fontiès;occitan;30427
7153    ;        ;Pernstein;german;30428
7154    ;        ;von Schwerin;german;30426|451962|451974|33265|33266|33267|33268|33269|33270|33271|33276|33277|33278|33279|33287|33288|33289|33290
7155    ;        ;von Dorpat;german;30430|30432|30434
7156    ;        ;von Haseldorf;german;30431
7157    ;        ;von Vyshusen;german;30433
7158    ;        ;von Dolen;german;30445
7159    ;        ;von Ösel;german;30437|30439|30440|30441|30442
7160    ;        ;Powal;polish;221761
7161    ;        ;z Liubic;pommeranian;
7162    ;        ;z Pomorza;pommeranian;221701
7163    ;        ;Swienca;pommeranian;30537|30538|30539|30540|30541|30542|30543|30544
7164    ;        ;von Friesack;german;30548
7165    ;        ;von Henneberg;german;144542|144543|30603
7166    ;        ;von Hildesheim;german;30670
7167    ;        ;von Lechsgmünd;german;
7168    ;        ;van Cuijck;dutch;30673
7169    ;        ;van Bierum;dutch;30674
7170    ;        ;van Rhenen;dutch;30676
7171    ;        ;van Are;dutch;30677
7172    ;        ;van Randerath;dutch;30679
7173    ;        ;von Ziegenhain;german;212371
7174    ;        ;van Sierck;dutch;30686|30688
7175    ;        ;van Berthout;dutch;1140000|1140001|1140002|1140003|1140004|1140005|1140006|1140007|1140008|1140009|1140010|1140011|1140012|1140013|1140014|1140015|30687|33221
7176    ;        ;van Oudshoorn;frisian;30689
7177    ;        ;van Diest;dutch;
7178    ;        ;von Komburg;german;30807|30808
7180    ;        ;von Stahleck;german;7597|7598|7599
7181    ;        ;di Poli;italian;30816
7182    ;        ;Ridel;norman;1167000|1167001|1167002|30850
7183    ;        ;di Sorrento;italian;30851
7184    ;        ;di Capua;italian;30854|73317|73318|73321|73323|73324|73325|73326|73327|73328|73329|73330|73331|73332|73333|73334|73336|73337|73338|73339|73340|73341|73342|73343|73344|73345|73354|73355|2012|163072|163073|163074|163075|163076|145206|163077|163078|163079|168496|190332|200367|200368|200369|200370|200371|200372|200373|200374|200375|200376|200377|200378|200379|200380|200381|200382|200383|200384|200385|200386|200387|200388|200389|200390|200391|200392|200393|200394
7185    ;        ;d'Amalfi;italian;1117
7186    ;        ;di Molise;italian;30863
7187    ;        ;Mansel;norman;223753
7188    ;        ;di Brindisi;italian;211531|211532|31402|31445
7189    ;        ;Brictone;italian;30882
7190    ;        ;di Catanzaro;italian;30895|30896|30897|32546|32584
7191    ;        ;di Loritello;italian;30898
7192    ;        ;de Bassonville;norman;30899|30900|30901
7193    ;        ;de Saone;frankish;231014
7194    ;        ;de Saint-Omer;frankish;144162|30930|31351|31352|31353|31354|31355|31356|31357|31358|31359|31360|31362|31363|31364|31365|31366|31400|31367|31368|31369|31373|31374|31375|31398
7195    ;        ;von Dinslaken;german;30972
7196    ;        ;Ledur;frankish;31015
7197    ;        ;van Voorne;dutch;31040|31041|31042|31043|31044|31045|31046|31047|31048|31049|31050|31051
7198    ;        ;Reginar;dutch;10066|106600|106602|106604|106605|106642|206850|206851|206852|206853|206854|206855|206857|30950|41025|41726|41727|41728|462941|94014|94017|94018|94019|33188|33190|33191|33210|106556|7473|106557|455408|487046|487048|487050|487051|487052|487053|487054|487055|487056|487057|487058|106640|455530|487012|487040|487042|487044|7810|7811|7812|7813|7815|7998|455932|129001|33388|144993|144994|144995|144996|163046|161296|161295|161535|423|462003|462620|33391|33392|33393|33394|33395|33396|33397|33398|33399|33400|33401|33402|33403|33404|33456|33501|33502|33503
7199    ;        ;de Guise;frankish;31114
7200    ;        ;van Naaldwijk;dutch;31123
7201    ;        ;de Crysoing;frankish;31124
7202    ;        ;Mytzes;bulgarian;31185
7203    ;        ;Tikh;bulgarian;31186|31187|31188|31189
7204    ;        ;Bardovka;bulgarian;31192
7205    ;        ;Sliven;bulgarian;31196|31197|31198|31199|31200|467540|467541|467542
7206    ;        ;Desllor;catalan;31225
7207    ;        ;de Neuilly;frankish;31379|1226520
7208    ;        ;de Bures;frankish;31384|31386|31387|31388|31389|31390|31391|31392|31393
7209    ;        ;de Bazoches;frankish;31385
7210    ;        ;de Chappes;frankish;31397
7211    ;        ;de Toucy;frankish;31417|34597|34598|34599|34601|34602|34603|34604
7212    ;        ;de Candia;italian;31403|31404|31405|31406|31408|31409|31410|31411
7213    ;        ;Fimetta;italian;31407
7214    ;        ;di Rocca;italian;31412
7215    ;        ;Orsini;italian;31448|31443|31444|31433|31434|31435|31439|31436|31437|31438|31440|31441|31442|31380|32540
7216    ;        ;Gozzadini;italian;31485
7217    ;        ;de Pecoriari;italian;31491|31492
7218    ;        ;Ghisi;italian;31496|31497|1226800|1226801|1226802|1226803|1226804|1226805|1226806|1226807|1226808|1226809|1226812|1226813|1226821
7219    ;        ;de Trith;frankish;31500
7220    ;        ;Rapotonen;german;212388|212390|212392|7003|31510|31511|31512|31513|31514|31515|31516|31536|31518|31519|31520|31521|31522|31524|31666|31525|31526|31529|31530|31532|31533|31534|31535|31538|33295|33296|33297|33298|33310|33474
